cid,id_review,positive_review_int
13756,1,0
15738,2,0
15727,3,0
17954,4,0
16579,5,1
14841,6,0
18085,7,0
16365,8,1
17912,9,0
15100,10,0
16781,11,0
16656,12,1
14390,13,1
17975,14,0
17616,15,0
14589,16,0
17629,17,0
13089,18,0
16752,19,1
13579,20,0
13869,21,0
13089,22,0
15211,23,1
13069,24,0
14031,25,0
18239,26,1
15882,27,0
13093,28,0
17580,29,0
16503,30,0
13831,31,0
16161,32,0
14525,33,0
14961,34,0
14213,35,1
16367,36,1
13093,37,0
14293,38,0
17449,39,1
16931,40,0
16402,41,0
18055,42,0
15192,43,0
16367,44,1
15581,45,1
12551,46,0
12875,47,1
14867,48,1
14236,49,0
16013,50,0
16746,51,0
16719,52,0
17838,53,0
14565,54,0
15867,55,0
17999,56,0
14298,57,0
17198,58,0
14373,59,0
16950,60,0
13269,61,0
17850,62,0
14684,63,0
18055,64,0
13011,65,0
14594,66,0
13969,67,0
18144,68,1
12868,69,0
14565,70,1
12967,71,0
17757,72,0
12989,73,0
12686,74,0
14388,75,1
13008,76,0
12600,77,1
16186,78,0
15194,79,0
15689,80,0
15996,81,0
12417,82,0
15023,83,0
18037,84,1
17287,85,0
16048,86,1
15950,87,0
15664,88,1
18219,89,1
13295,90,0
16700,91,1
14107,92,0
17288,93,0
17223,94,0
17470,95,1
17091,96,0
14256,97,0
17969,98,0
14060,99,0
15394,100,1
15664,101,0
14639,102,0
16725,103,1
13652,104,0
16743,105,1
15038,106,1
16725,107,0
16353,108,1
16782,109,1
15894,110,0
16271,111,0
16143,112,1
14748,113,0
12947,114,0
16350,115,1
16743,116,0
13963,117,0
16996,118,0
12433,119,1
16810,120,0
12747,121,1
18055,122,1
17340,123,0
17339,124,0
18113,125,0
16885,126,0
16858,127,0
12942,128,0
13842,129,1
17869,130,0
14866,131,0
16350,132,1
17307,133,1
14001,134,1
16145,135,0
14243,136,0
15179,137,0
14298,138,0
16950,139,1
16210,140,0
12417,141,0
17017,142,0
15708,143,0
14078,144,0
17406,145,0
12865,146,0
16814,147,0
